c1	c2	c3	c4	c5	c6	c7	c8	c9	--default-storage-engine	--binlog-format	--daemonize	--delay-key-write	--event-scheduler	--myisam-recover-options	--autocommit	--key-buffer-size	--max-allowed-packet	--max-connections	--wait-timeout	--interactive-timeout	--concurrency	--iterations	--number-int-cols	--number-char-cols	--commit	c10	c11	--detach
--external-locking	--character-set-client-handshake		--big-tables	--flush		--skip-networking	--super-large-pages	--symbolic-links	InnoDB	ROW	OFF	ALL	ON	DEFAULT	0	715827882	357913941	66666	28800	19200	6	7	7	7	17	--compress	--enable-cleartext-plugin	1
--skip-external-locking	--skip-character-set-client-handshake			--flush	--memlock		--super-large-pages	--symbolic-links	BLACKHOLE	MIXED	OFF	ALL	OFF	DEFAULT	1	715827882	1024	66666	19200	28800	6	1	1	1	34			3
--skip-external-locking	--character-set-client-handshake					--skip-networking		--symbolic-links	MyISAM	MIXED	OFF	OFF	OFF	QUICK	0	715827882	715827882	33333	19200	9600	6	7	7	10	34	--compress		3
--external-locking	--skip-character-set-client-handshake			--flush		--skip-networking	--super-large-pages	--symbolic-links	InnoDB	MIXED	ON	OFF	DISABLED	BACKUP	0	1073741823	1024	33333	9600	28800	13	1	7	4	17		--enable-cleartext-plugin	1
--external-locking	--character-set-client-handshake			--flush			--super-large-pages	--symbolic-links	BLACKHOLE	ROW	OFF	OFF	ON	OFF	0	1073741823	1073741824	1	1	19200	1	4	1	4	34	--compress	--enable-cleartext-plugin	0
--external-locking	--character-set-client-handshake	--external-locking		--flush	--memlock			--symbolic-links	MyISAM	STATEMENT	OFF	ON	DISABLED	QUICK	1	1073741823	1024	100000	28800	28800	20	7	4	7	17		--enable-cleartext-plugin	3
--skip-external-locking	--skip-character-set-client-handshake	--external-locking		--flush	--memlock	--skip-networking	--super-large-pages	--symbolic-links	BLACKHOLE	ROW	ON	ON	ON	FORCE	1	715827882	1024	100000	19200	1	1	7	4	4	0	--compress	--enable-cleartext-plugin	0
--external-locking	--character-set-client-handshake		--big-tables	--flush				--symbolic-links	BLACKHOLE	ROW	ON	ALL	OFF	QUICK	0	357913941	1073741824	66666	9600	9600	20	4	4	4	50	--compress	--enable-cleartext-plugin	5
--external-locking	--character-set-client-handshake	--external-locking	--big-tables	--flush	--memlock		--super-large-pages	--symbolic-links	MyISAM	MIXED	ON	OFF	DISABLED	FORCE	1	715827882	715827882	66666	9600	1	20	10	7	10	50		--enable-cleartext-plugin	1
--skip-external-locking	--character-set-client-handshake	--external-locking	--big-tables			--skip-networking		--symbolic-links	InnoDB	ROW	ON	ON	ON	OFF	0	8	1073741824	66666	19200	9600	13	7	1	10	17		--enable-cleartext-plugin	0
--skip-external-locking	--skip-character-set-client-handshake		--big-tables	--flush		--skip-networking		--symbolic-links	InnoDB	MIXED	OFF	OFF	OFF	DEFAULT	1	1073741823	715827882	100000	19200	28800	1	10	10	7	34	--compress		0
--skip-external-locking	--skip-character-set-client-handshake	--external-locking				--skip-networking		--symbolic-links	BLACKHOLE	STATEMENT	ON	ON	OFF	FORCE	0	8	1024	1	9600	28800	1	7	10	1	34		--enable-cleartext-plugin	1
--external-locking	--character-set-client-handshake			--flush	--memlock			--symbolic-links	MyISAM	STATEMENT	OFF	ALL	OFF	FORCE	1	8	357913941	100000	1	9600	13	4	7	4	34			3
--external-locking	--skip-character-set-client-handshake	--external-locking				--skip-networking	--super-large-pages	--symbolic-links	MyISAM	ROW	OFF	OFF	DISABLED	QUICK	0	357913941	357913941	66666	19200	28800	13	4	4	1	34			0
--external-locking	--skip-character-set-client-handshake		--big-tables		--memlock	--skip-networking	--super-large-pages	--symbolic-links	MyISAM	MIXED	ON	OFF	ON	BACKUP	1	8	1024	66666	28800	19200	6	4	1	1	50	--compress	--enable-cleartext-plugin	5
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables		--memlock			--symbolic-links	MyISAM	ROW	ON	ALL	ON	FORCE	0	1073741823	715827882	33333	1	28800	6	1	1	10	0		--enable-cleartext-plugin	1
--external-locking	--character-set-client-handshake			--flush	--memlock		--super-large-pages	--symbolic-links	InnoDB	STATEMENT	ON	ALL	ON	BACKUP	1	8	715827882	66666	19200	1	13	10	4	7	50	--compress		3
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables	--flush	--memlock		--super-large-pages	--symbolic-links	InnoDB	ROW	OFF	ALL	DISABLED	QUICK	0	8	1024	66666	19200	1	6	10	7	10	0			5
--skip-external-locking	--character-set-client-handshake		--big-tables			--skip-networking		--symbolic-links	InnoDB	ROW	OFF	OFF	OFF	FORCE	1	8	1024	1	28800	19200	1	1	4	10	17	--compress	--enable-cleartext-plugin	0
--skip-external-locking	--character-set-client-handshake	--external-locking		--flush	--memlock			--symbolic-links	InnoDB	ROW	ON	ON	ON	DEFAULT	1	8	715827882	33333	9600	19200	20	4	1	7	34			1
--skip-external-locking	--character-set-client-handshake	--external-locking		--flush				--symbolic-links	InnoDB	STATEMENT	OFF	ALL	DISABLED	OFF	0	715827882	357913941	100000	19200	1	13	1	10	4	34	--compress		5
--skip-external-locking	--skip-character-set-client-handshake	--external-locking		--flush	--memlock			--symbolic-links	MyISAM	MIXED	OFF	ON	DISABLED	BACKUP	0	8	1073741824	100000	28800	19200	6	10	4	4	34	--compress	--enable-cleartext-plugin	1
--external-locking	--skip-character-set-client-handshake	--external-locking		--flush			--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	OFF	ON	OFF	QUICK	1	715827882	1073741824	33333	28800	9600	6	4	10	7	50			1
--skip-external-locking	--character-set-client-handshake	--external-locking	--big-tables		--memlock	--skip-networking		--symbolic-links	BLACKHOLE	ROW	OFF	OFF	DISABLED	OFF	1	715827882	357913941	66666	9600	9600	1	10	1	7	34	--compress		1
--skip-external-locking	--character-set-client-handshake		--big-tables		--memlock	--skip-networking	--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	ON	ON	ON	BACKUP	1	1073741823	357913941	66666	9600	19200	1	7	7	1	17			3
--external-locking	--character-set-client-handshake	--external-locking	--big-tables		--memlock		--super-large-pages	--symbolic-links	MyISAM	STATEMENT	ON	OFF	OFF	OFF	0	715827882	715827882	66666	28800	9600	1	1	7	4	0		--enable-cleartext-plugin	3
--external-locking	--skip-character-set-client-handshake			--flush	--memlock	--skip-networking	--super-large-pages	--symbolic-links	InnoDB	STATEMENT	OFF	ALL	OFF	FORCE	1	1073741823	1073741824	1	28800	1	1	7	7	1	0	--compress	--enable-cleartext-plugin	5
--external-locking	--character-set-client-handshake		--big-tables	--flush				--symbolic-links	MyISAM	MIXED	OFF	OFF	ON	DEFAULT	1	1073741823	1024	33333	9600	1	20	4	10	1	50	--compress		3
